LapTimeCurrent,SpeedKmh,Throttle,Brake,Steering,Gear,Rpms,GlobalAccelerationG,LateralG,CarCoordX,CarCoordZ,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR,BrakeTempFL,BrakeTempFR,BrakeTempRL,BrakeTempRR
7506,5.34,1.0,0.0,-0.993,2,2473,1.0638,0.1728,-171.623,-42.891,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7527,6.14,1.0,0.0,-0.9924,2,2472,1.0954,0.1112,-171.604,-42.862,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7548,6.23,1.0,0.0,-0.9922,2,2473,0.9668,0.0099,-171.583,-42.833,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7569,6.93,1.0,0.0,-0.9914,2,2472,0.4865,0.1839,-171.561,-42.8,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7584,7.35,1.0,0.0,-0.9908,2,2473,0.9877,0.1768,-171.545,-42.776,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7605,7.7,1.0,0.0,-0.9903,2,2473,0.8292,0.1288,-171.52,-42.74,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7626,8.17,1.0,0.0,-0.9897,2,2473,0.6376,0.0927,-171.493,-42.701,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7647,8.66,1.0,0.0,-0.9891,2,2473,0.6614,0.1374,-171.465,-42.661,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7668,9.13,1.0,0.0,-0.9885,2,2473,0.6046,0.0769,-171.435,-42.618,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7689,9.6,1.0,0.0,-0.9793,2,2473,0.5951,0.1381,-171.403,-42.573,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7710,10.08,1.0,0.0,-0.9703,2,2473,0.631,0.0931,-171.37,-42.527,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7731,10.55,1.0,0.0,-0.9273,2,2473,0.6319,0.1135,-171.334,-42.478,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7752,10.96,1.0,0.0,-0.8905,2,2473,0.6502,0.0847,-171.298,-42.426,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7773,11.44,1.0,0.0,-0.8475,2,2474,0.6428,0.0278,-171.259,-42.373,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7788,11.92,1.0,0.0,-0.8045,2,2474,0.644,0.0676,-171.231,-42.333,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7809,12.33,1.0,0.0,-0.7677,2,2474,0.6316,0.0684,-171.19,-42.276,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7836,12.89,1.0,0.0,-0.7186,2,2474,0.6603,0.0627,-171.134,-42.198,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7857,13.37,1.0,0.0,-0.6756,2,2474,0.6471,0.0173,-171.09,-42.135,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7872,13.79,1.0,0.0,-0.6388,2,2474,0.6402,0.0093,-171.057,-42.089,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7893,14.27,1.0,0.0,-0.5958,2,2474,0.6561,0.0504,-171.009,-42.022,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7914,14.76,1.0,0.0,-0.5528,2,2475,0.6558,0.0024,-170.96,-41.953,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
7935,15.25,1.0,0.0,-0.5098,2,2475,0.66,0.0366,-170.909,-41.881,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
