LapTimeCurrent,SpeedKmh,Throttle,Brake,Steering,Gear,Rpms,GlobalAccelerationG,LateralG,CarCoordX,CarCoordZ,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR,BrakeTempFL,BrakeTempFR,BrakeTempRL,BrakeTempRR
48768,5.12,1.0,0.0,0.0008,2,2473,1.0916,0.0184,-171.641,-42.896,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48786,5.94,1.0,0.0,0.0008,2,2472,1.1203,0.006,-171.628,-42.871,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48804,6.15,1.0,0.0,0.0008,2,2472,-1.2329,-0.0253,-171.614,-42.843,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48822,6.72,1.0,0.0,0.0008,2,2473,1.1273,0.0186,-171.6,-42.815,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48849,7.09,1.0,0.0,0.0008,2,2473,0.3808,0.0126,-171.577,-42.768,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48873,7.7,1.0,0.0,0.0008,2,2473,0.4088,-0.0169,-171.554,-42.722,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48891,8.22,1.0,0.0,0.0007,2,2473,0.4214,0.0295,-171.536,-42.686,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48909,8.73,1.0,0.0,0.0007,2,2473,0.4943,-0.0258,-171.517,-42.648,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48933,9.22,1.0,0.0,0.0007,2,2473,0.5582,0.0133,-171.49,-42.595,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48954,9.65,1.0,0.0,0.0007,2,2473,0.6039,0.0154,-171.465,-42.545,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48972,10.15,1.0,0.0,0.0007,2,2473,0.618,-0.0267,-171.443,-42.5,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
48990,10.63,1.0,0.0,0.0007,2,2473,0.6362,0.0268,-171.42,-42.454,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
49017,11.12,1.0,0.0,0.0007,2,2474,0.6514,-0.0151,-171.383,-42.381,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
49035,11.61,1.0,0.0,0.0007,2,2474,0.6535,0.0258,-171.358,-42.33,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
49056,12.1,1.0,0.0,0.0007,2,2474,0.6654,-0.0209,-171.327,-42.268,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
49077,12.59,1.0,0.0,0.0007,2,2474,0.6507,0.021,-171.294,-42.203,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
49095,13.08,1.0,0.0,0.0007,2,2474,0.6613,-0.0253,-171.265,-42.146,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
49116,13.5,1.0,0.0,0.0007,2,2474,0.662,-0.0197,-171.231,-42.076,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
